timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,6.233328,-75.540298,1632.854649,0.000000,123.398438,1527545826.999132,
,,,,,,,,,,,,,,,,6.233328,-75.540298,1632.857334,0.000000,123.398438,1527545827.999115,
1527545828.225572,0.136597,0.027552,1.699346,1.888111,2.656754,0.438862,0.136121,-0.027548,-0.990309,0.043567,0.136877,-0.454301,-2.002481,-40.324745,-24.520481,,,,,,,
,,,,,,,,,,,,,,,,6.233328,-75.540298,1632.807529,0.000000,123.398438,1527545828.999099,
1527545829.226014,0.422825,0.282539,1.792623,-1.060979,-0.285403,-0.823715,0.394068,-0.278795,-0.875776,0.004735,-0.047957,-0.102099,-1.587870,-44.004280,-16.282581,,,,,,,
,,,,,,,,,,,,,,,,6.233328,-75.540298,1632.811436,0.000000,123.398438,1527545829.999082,
1527545830.226446,0.538435,0.243426,1.819911,0.273212,-0.362338,0.149341,0.497674,-0.241029,-0.833202,0.019064,0.033388,-0.042699,0.969625,-43.255699,-18.548618,,,,,,,
,,,,,,,,,,,,,,,,6.233328,-75.540298,1632.785557,0.000000,123.398438,1527545830.999065,
1527545831.226871,0.357047,0.437374,1.669134,0.251376,-1.628886,0.000702,0.316609,-0.423562,-0.848737,0.044048,-0.012519,-0.014041,-0.250895,-44.985298,-6.919392,,,,,,,
,,,,,,,,,,,,,,,,6.233328,-75.540298,1632.768711,0.000000,123.398438,1527545831.999048,
1527545832.228272,0.102002,0.601331,1.562754,-0.332926,0.247104,0.186176,0.083964,-0.565740,-0.820297,0.015905,-0.016413,0.065232,0.846029,-47.840202,0.715786,,,,,,,
,,,,,,,,,,,,,,,,6.233328,-75.540298,1632.355869,0.000000,66.445312,1527545832.999030,
1527545833.228769,0.699836,-0.094524,1.929034,0.804431,-0.273881,-0.030208,0.641217,0.094383,-0.761533,0.036426,0.020485,-0.047884,9.674658,-34.707039,-33.288181,,,,,,,
,,,,,,,,,,,,,,,,6.233319,-75.540294,1632.068760,0.280000,30.234375,1527545833.999011,
